<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
09.10.2018;116070;116110;116000;116000
09.10.2018;116000;116050;115940;116040
09.10.2018;116040;116090;116000;116080
09.10.2018;116070;116160;116070;116110
09.10.2018;116110;116180;116100;116160
09.10.2018;116160;116190;116140;116180
09.10.2018;116180;116180;116140;116150
09.10.2018;116150;116220;116150;116190
09.10.2018;116190;116270;116190;116250
09.10.2018;116250;116270;116140;116140
09.10.2018;116150;116180;116100;116100
09.10.2018;116100;116180;116090;116180
09.10.2018;116180;116230;116160;116210
09.10.2018;116210;116240;116150;116160
09.10.2018;116170;116180;116090;116140
09.10.2018;116140;116170;116120;116140
09.10.2018;116130;116240;116090;116190
09.10.2018;116190;116240;116190;116220
09.10.2018;116220;116230;116180;116180
09.10.2018;116180;116180;116130;116140
09.10.2018;116140;116220;116140;116190
09.10.2018;116180;116220;116180;116220
09.10.2018;116210;116220;116180;116210
09.10.2018;116200;116200;116100;116100
09.10.2018;116100;116110;116030;116040
09.10.2018;116040;116090;116010;116080
09.10.2018;116070;116100;116040;116070
09.10.2018;116070;116130;116070;116130
09.10.2018;116120;116150;116090;116150
09.10.2018;116140;116140;116020;116050
09.10.2018;116070;116130;116070;116120
09.10.2018;116120;116130;116080;116100
09.10.2018;116100;116100;116050;116060
09.10.2018;116070;116220;116070;116200
09.10.2018;116180;116240;116170;116200
09.10.2018;116190;116220;116150;116150
09.10.2018;116150;116200;116130;116190
09.10.2018;116170;116220;116110;116160
09.10.2018;116160;116210;116150;116180
09.10.2018;116170;116210;116160;116180
09.10.2018;116200;116230;116170;116190
09.10.2018;116200;116230;116170;116170
09.10.2018;116170;116170;116110;116160
09.10.2018;116180;116200;116160;116160
09.10.2018;116150;116300;116150;116290
09.10.2018;116290;116310;116260;116290
09.10.2018;116300;116360;116280;116360
09.10.2018;116350;116360;116290;116330
09.10.2018;116350;116380;116320;116370
09.10.2018;116370;116420;116340;116350
09.10.2018;116370;116410;116350;116400
09.10.2018;116410;116460;116390;116440
09.10.2018;116440;116460;116400;116410
09.10.2018;116410;116480;116410;116460
09.10.2018;116450;116450;116380;116380
09.10.2018;116390;116400;116360;116360
09.10.2018;116360;116440;116360;116370
09.10.2018;116380;116380;116360;116360
09.10.2018;116380;116430;116370;116430
09.10.2018;116410;116420;116270;116300
09.10.2018;116300;116330;116280;116320
09.10.2018;116300;116310;116240;116270
09.10.2018;116260;116260;116130;116190
09.10.2018;116190;116270;116180;116240
09.10.2018;116240;116270;116190;116210
09.10.2018;116210;116230;116150;116180
09.10.2018;116170;116190;116140;116160
09.10.2018;116140;116220;116130;116180
09.10.2018;116180;116190;116060;116080
09.10.2018;116090;116090;116000;116010
09.10.2018;116020;116030;115870;115920
09.10.2018;115920;115960;115900;115940
09.10.2018;115950;115960;115910;115960
09.10.2018;115960;115960;115900;115930
09.10.2018;115920;115940;115760;115770
09.10.2018;115770;115800;115720;115730
09.10.2018;115730;115760;115640;115690
09.10.2018;115690;115720;115650;115650
09.10.2018;115650;115740;115640;115730
09.10.2018;115730;115740;115640;115640
09.10.2018;115660;115690;115600;115680
09.10.2018;115680;115700;115660;115700
09.10.2018;115690;115740;115690;115710
09.10.2018;115690;115730;115680;115700
09.10.2018;115690;115710;115630;115710
09.10.2018;115710;115730;115640;115650
09.10.2018;115660;115700;115640;115640
09.10.2018;115650;115660;115620;115620
09.10.2018;115630;115640;115600;115620
09.10.2018;115620;115640;115610;115610
09.10.2018;115620;115690;115600;115630
09.10.2018;115650;115660;115610;115630
09.10.2018;115630;115670;115520;115530
09.10.2018;115530;115590;115510;115570
09.10.2018;115580;115690;115570;115680
09.10.2018;115680;115760;115650;115670
09.10.2018;115660;115660;115610;115620
09.10.2018;115620;115620;115460;115550
09.10.2018;115560;115610;115520;115520
09.10.2018;115510;115540;115490;115540
09.10.2018;115550;115660;115490;115640
09.10.2018;115640;115650;115610;115610
09.10.2018;115610;115640;115570;115590
09.10.2018;115600;115640;115550;115580
09.10.2018;115590;115620;115540;115550
09.10.2018;115550;115580;115490;115570
09.10.2018;115550;115650;115530;115630
09.10.2018;115640;115650;115600;115600
09.10.2018;115600;115680;115590;115650
09.10.2018;115650;115660;115510;115580
09.10.2018;115570;115590;115490;115580
09.10.2018;115570;115600;115540;115570
09.10.2018;115560;115560;115480;115520
09.10.2018;115520;115530;115430;115430
09.10.2018;115440;115480;115410;115450
09.10.2018;115450;115490;115350;115410
09.10.2018;115420;115430;115380;115390
09.10.2018;115390;115430;115380;115430
09.10.2018;115430;115520;115430;115510
09.10.2018;115510;115530;115430;115440
09.10.2018;115450;115530;115450;115520
09.10.2018;115520;115550;115510;115540
09.10.2018;115540;115590;115500;115570
09.10.2018;115580;115580;115500;115510
09.10.2018;115510;115510;115410;115420
09.10.2018;115420;115440;115280;115380
09.10.2018;115380;115410;115360;115380
09.10.2018;115370;115410;115330;115340
09.10.2018;115340;115360;115260;115300
09.10.2018;115300;115310;115200;115270
09.10.2018;115280;115380;115270;115360
09.10.2018;115360;115360;115330;115350
09.10.2018;115350;115360;115280;115330
09.10.2018;115320;115390;115300;115380
09.10.2018;115380;115390;115340;115380
09.10.2018;115380;115380;115280;115320
09.10.2018;115320;115330;115290;115320
09.10.2018;115330;115360;115320;115340
09.10.2018;115340;115400;115340;115370
09.10.2018;115370;115400;115340;115350
09.10.2018;115350;115410;115350;115380
09.10.2018;115370;115440;115350;115430
09.10.2018;115420;115520;115410;115490
09.10.2018;115490;115490;115430;115440
09.10.2018;115440;115440;115390;115400
09.10.2018;115400;115470;115390;115460
09.10.2018;115440;115480;115430;115460
09.10.2018;115460;115470;115410;115460
09.10.2018;115460;115570;115460;115550
09.10.2018;115550;115580;115520;115520
09.10.2018;115520;115530;115510;115510
09.10.2018;115510;115520;115470;115520
09.10.2018;115500;115510;115450;115460
09.10.2018;115470;115490;115420;115460
09.10.2018;115460;115470;115440;115450
09.10.2018;115450;115480;115430;115450
09.10.2018;115450;115500;115440;115480
09.10.2018;115480;115480;115440;115480
09.10.2018;115480;115480;115420;115460
09.10.2018;115470;115500;115450;115490
09.10.2018;115480;115520;115470;115510
09.10.2018;115520;115590;115520;115570
09.10.2018;115570;115650;115550;115610
09.10.2018;115600;115620;115570;115600
09.10.2018;115600;115660;115580;115590
09.10.2018;115580;115580;115500;115550
09.10.2018;115560;115570;115520;115560
09.10.2018;115560;115560;115520;115540
09.10.2018;115540;115630;115540;115590
09.10.2018;115590;115660;115560;115610
09.10.2018;115620;115660;115610;115640
09.10.2018;115630;115660;115600;115610
09.10.2018;115610;115630;115580;115580
09.10.2018;115590;115640;115580;115640
09.10.2018;115620;115640;115600;115620
09.10.2018;115620;115630;115600;115610
09.10.2018;115610;115650;115610;115620
09.10.2018;115620;115640;115560;115570
09.10.2018;115560;115600;115540;115540
09.10.2018;115560;115570;115500;115500
09.10.2018;115500;115520;115460;115460
09.10.2018;115460;115580;115440;115550
09.10.2018;115560;115620;115520;115610
09.10.2018;115600;115620;115570;115570
09.10.2018;115580;115580;115500;115520
09.10.2018;115500;115540;115470;115530
09.10.2018;115520;115540;115500;115530
09.10.2018;115510;115510;115400;115410
09.10.2018;115420;115430;115290;115300
09.10.2018;115300;115360;115280;115310
09.10.2018;115300;115340;115300;115330
09.10.2018;115330;115330;115240;115300
09.10.2018;115310;115320;115280;115320
09.10.2018;115320;115340;115290;115340
09.10.2018;115330;115410;115330;115360
09.10.2018;115360;115490;115360;115440
09.10.2018;115440;115450;115390;115420
09.10.2018;115420;115430;115390;115410
09.10.2018;115420;115480;115410;115460
09.10.2018;115470;115550;115460;115550
09.10.2018;115540;115560;115480;115500
09.10.2018;115490;115520;115470;115520
09.10.2018;115520;115520;115410;115450
09.10.2018;115450;115470;115420;115440
09.10.2018;115440;115490;115360;115410
09.10.2018;115410;115470;115400;115440
09.10.2018;115430;115520;115400;115430
09.10.2018;115430;115540;115430;115530
09.10.2018;115540;115650;115540;115640
09.10.2018;115620;115650;115580;115640
09.10.2018;115630;115650;115550;115570
09.10.2018;115570;115580;115540;115540
09.10.2018;115540;115720;115530;115650
09.10.2018;115650;115660;115610;115610
09.10.2018;115600;115600;115440;115460
09.10.2018;115460;115520;115450;115500
09.10.2018;115490;115530;115480;115510
09.10.2018;115510;115610;115480;115580
09.10.2018;115580;115600;115530;115550
09.10.2018;115560;115560;115420;115430
09.10.2018;115420;115460;115330;115350
09.10.2018;115350;115390;115300;115350
09.10.2018;115340;115340;115260;115320
09.10.2018;115310;115340;115250;115320
09.10.2018;115320;115360;115250;115360
09.10.2018;115360;115420;115350;115390
09.10.2018;115390;115410;115360;115360
09.10.2018;115380;115430;115320;115420
09.10.2018;115420;115510;115410;115460
09.10.2018;115440;115470;115390;115400
09.10.2018;115390;115480;115370;115460
09.10.2018;115470;115470;115390;115440
09.10.2018;115420;115450;115330;115350
09.10.2018;115350;115350;115280;115310
09.10.2018;115310;115340;115100;115180
09.10.2018;115180;115240;115170;115230
09.10.2018;115220;115270;115200;115260
09.10.2018;115260;115300;115210;115230
09.10.2018;115230;115250;115170;115240
09.10.2018;115230;115250;115150;115160
09.10.2018;115150;115220;115120;115120
09.10.2018;115120;115160;115070;115110
09.10.2018;115110;115120;114980;115040
09.10.2018;115030;115140;115030;115100
09.10.2018;115100;115150;115090;115110
09.10.2018;115120;115120;114960;114970
09.10.2018;114980;115070;114960;115040
09.10.2018;115040;115040;114970;115030
09.10.2018;115020;115040;114980;115020
09.10.2018;115030;115250;115020;115200
09.10.2018;115180;115230;115170;115190
09.10.2018;115170;115230;115130;115190
09.10.2018;115190;115220;115160;115180
09.10.2018;115190;115290;115190;115260
09.10.2018;115260;115270;115160;115220
09.10.2018;115230;115280;115210;115280
09.10.2018;115270;115340;115250;115270
09.10.2018;115270;115320;115260;115280
09.10.2018;115280;115360;115280;115360
09.10.2018;115360;115380;115280;115300
09.10.2018;115300;115360;115290;115360
09.10.2018;115360;115390;115300;115370
09.10.2018;115380;115470;115370;115430
09.10.2018;115430;115430;115340;115390
09.10.2018;115400;115470;115340;115400
09.10.2018;115400;115480;115360;115460
09.10.2018;115470;115640;115430;115600
09.10.2018;115610;115640;115590;115620
09.10.2018;115620;115640;115590;115610
09.10.2018;115620;115690;115600;115690
09.10.2018;115690;115830;115690;115730
09.10.2018;115750;115810;115730;115770
09.10.2018;115770;115790;115710;115730
09.10.2018;115730;115750;115650;115670
09.10.2018;115670;115760;115630;115760
09.10.2018;115770;115820;115730;115790
09.10.2018;115800;115890;115800;115830
09.10.2018;115830;115850;115770;115820
09.10.2018;115830;115880;115800;115820
09.10.2018;115830;115920;115820;115880
09.10.2018;115880;115900;115820;115840
09.10.2018;115830;115850;115760;115780
09.10.2018;115780;115870;115780;115830
09.10.2018;115850;115890;115820;115840
09.10.2018;115840;115860;115720;115730
09.10.2018;115750;115790;115690;115700
09.10.2018;115690;115750;115680;115740
09.10.2018;115740;115770;115710;115750
09.10.2018;115740;115780;115660;115670
09.10.2018;115670;115830;115670;115710
09.10.2018;115730;115780;115710;115760
09.10.2018;115780;115780;115660;115700
09.10.2018;115700;115730;115620;115670
09.10.2018;115660;115670;115510;115550
09.10.2018;115550;115630;115540;115570
09.10.2018;115570;115600;115520;115520
09.10.2018;115530;115570;115480;115520
09.10.2018;115500;115620;115490;115620
09.10.2018;115620;115640;115530;115560
09.10.2018;115570;115600;115520;115540
09.10.2018;115530;115550;115420;115460
09.10.2018;115460;115520;115460;115480
09.10.2018;115470;115520;115460;115500
09.10.2018;115500;115510;115330;115340
09.10.2018;115340;115470;115340;115470
09.10.2018;115480;115500;115330;115400
09.10.2018;115400;115470;115400;115440
09.10.2018;115450;115460;115430;115440
09.10.2018;115450;115510;115410;115490
09.10.2018;115500;115680;115500;115620
09.10.2018;115630;115660;115560;115580
09.10.2018;115570;115640;115550;115620
09.10.2018;115630;115630;115530;115550
09.10.2018;115550;115550;115510;115540
09.10.2018;115540;115650;115520;115610
09.10.2018;115620;115640;115580;115580
09.10.2018;115600;115610;115570;115580
09.10.2018;115580;115600;115530;115560
09.10.2018;115570;115610;115510;115600
09.10.2018;115610;115660;115600;115630
09.10.2018;115630;115680;115600;115650
09.10.2018;115640;115670;115600;115670
09.10.2018;115660;115780;115640;115730
09.10.2018;115710;115800;115690;115730
09.10.2018;115740;115770;115670;115690
09.10.2018;115690;115730;115660;115730
09.10.2018;115730;115730;115600;115650
09.10.2018;115650;115690;115650;115650
09.10.2018;115660;115710;115580;115620
09.10.2018;115620;115630;115460;115480
09.10.2018;115490;115650;115460;115640
09.10.2018;115640;115660;115580;115610
09.10.2018;115620;115730;115620;115670
09.10.2018;115640;115700;115640;115670
09.10.2018;115670;115730;115670;115690
09.10.2018;115690;115710;115660;115690
09.10.2018;115670;115720;115670;115680
09.10.2018;115680;115680;115630;115640
09.10.2018;115650;115710;115640;115700
09.10.2018;115660;115810;115660;115770
09.10.2018;115770;115980;115770;115910
09.10.2018;115910;116030;115890;115930
09.10.2018;115940;115970;115900;115930
09.10.2018;115930;115940;115830;115850
09.10.2018;115860;115870;115720;115730
09.10.2018;115740;115740;115660;115660
09.10.2018;115660;115730;115660;115720
09.10.2018;115710;115860;115710;115830
09.10.2018;115820;115840;115750;115790
09.10.2018;115790;115810;115740;115780
09.10.2018;115780;115800;115760;115800
09.10.2018;115800;115910;115800;115910
09.10.2018;115910;115980;115830;115900
09.10.2018;115900;115930;115810;115810
09.10.2018;115810;115830;115760;115760
09.10.2018;115760;115790;115710;115770
09.10.2018;115770;115770;115670;115680
09.10.2018;115670;115700;115600;115660
09.10.2018;115640;115640;115550;115570
09.10.2018;115570;115640;115520;115640
09.10.2018;115620;115670;115610;115660
09.10.2018;115650;115660;115630;115640
09.10.2018;115640;115680;115620;115630
09.10.2018;115640;115770;115640;115690
09.10.2018;115710;115820;115680;115770
09.10.2018;115770;115820;115760;115820
09.10.2018;115820;115840;115770;115770
09.10.2018;115770;115780;115760;115770
09.10.2018;115770;115770;115720;115720
09.10.2018;115720;115740;115670;115690
09.10.2018;115690;115740;115690;115700
09.10.2018;115710;115740;115700;115730
09.10.2018;115720;115720;115700;115710
09.10.2018;115700;115700;115640;115700
09.10.2018;115700;115760;115700;115710
09.10.2018;115700;115750;115700;115750
09.10.2018;115760;115790;115750;115750
09.10.2018;115750;115810;115750;115780
09.10.2018;115750;115760;115720;115730
09.10.2018;115740;115750;115700;115700
09.10.2018;115700;115730;115670;115670
09.10.2018;115670;115680;115550;115580
09.10.2018;115590;115590;115530;115560
09.10.2018;115580;115590;115470;115510
09.10.2018;115500;115510;115420;115480
09.10.2018;115480;115560;115450;115520
09.10.2018;115520;115590;115500;115560
09.10.2018;115560;115590;115530;115570
09.10.2018;115570;115580;115510;115570
09.10.2018;115570;115620;115560;115560
09.10.2018;115580;115610;115570;115570
09.10.2018;115580;115710;115570;115630
09.10.2018;115640;115640;115590;115600
09.10.2018;115620;115660;115610;115640
09.10.2018;115610;115620;115610;115610
09.10.2018;115620;115670;115610;115640
09.10.2018;115610;115670;115590;115650
09.10.2018;115620;115650;115620;115650
09.10.2018;115620;115640;115620;115630
09.10.2018;115610;115610;115540;115550
09.10.2018;115550;115570;115520;115540
09.10.2018;115540;115550;115470;115530
09.10.2018;115550;115560;115500;115500
09.10.2018;115510;115560;115490;115500
09.10.2018;115490;115540;115480;115540
09.10.2018;115540;115540;115500;115530
09.10.2018;115530;115580;115530;115560
09.10.2018;115580;115590;115540;115580
09.10.2018;115580;115620;115550;115550
09.10.2018;115570;115650;115570;115650
09.10.2018;115650;115720;115650;115700
09.10.2018;115700;115740;115690;115690
09.10.2018;115690;115700;115670;115700
09.10.2018;115700;115720;115670;115670
09.10.2018;115670;115690;115650;115650
09.10.2018;115660;115730;115660;115690
09.10.2018;115690;115750;115680;115750
09.10.2018;115740;115780;115730;115780
09.10.2018;115760;115760;115670;115690
09.10.2018;115700;115710;115660;115660
09.10.2018;115690;115750;115670;115740
09.10.2018;115740;115770;115730;115760
09.10.2018;115760;115860;115760;115840
09.10.2018;115850;115860;115810;115820
09.10.2018;115830;115850;115790;115790
09.10.2018;115800;115810;115730;115750
09.10.2018;115750;115790;115740;115790
09.10.2018;115790;115830;115760;115790
09.10.2018;115800;115810;115780;115780
09.10.2018;115780;115830;115780;115800
09.10.2018;115800;115810;115770;115780
09.10.2018;115770;115810;115770;115790
09.10.2018;115790;115860;115780;115860
09.10.2018;115860;115900;115830;115890
09.10.2018;115890;115950;115850;115930
09.10.2018;115930;115960;115880;115900
09.10.2018;115880;115890;115830;115830
09.10.2018;115840;116100;115830;116020
09.10.2018;116020;116120;116020;116100
09.10.2018;116100;116280;116100;116240
09.10.2018;116240;116250;116160;116170
09.10.2018;116160;116210;116140;116140
09.10.2018;116150;116170;116140;116170
09.10.2018;116160;116190;116150;116160
09.10.2018;116160;116190;116130;116150
09.10.2018;116140;116180;116140;116150
09.10.2018;116140;116200;116140;116170
09.10.2018;116170;116190;116130;116160
09.10.2018;116170;116170;116130;116140
09.10.2018;116130;116180;116120;116140
09.10.2018;116140;116160;116120;116150
09.10.2018;116150;116150;116110;116140
09.10.2018;116130;116150;116120;116130
09.10.2018;116130;116200;116130;116170
09.10.2018;116180;116230;116180;116210
09.10.2018;116210;116260;116190;116240
09.10.2018;116240;116280;116230;116250
09.10.2018;116260;116270;116190;116190
09.10.2018;116200;116210;116170;116180
09.10.2018;116180;116210;116170;116200
09.10.2018;116200;116210;116160;116180
09.10.2018;116180;116200;116110;116120
09.10.2018;116130;116150;116070;116090
09.10.2018;116080;116100;116060;116080
09.10.2018;116090;116090;116010;116020
09.10.2018;116030;116120;116020;116100
09.10.2018;116110;116130;116060;116080
09.10.2018;116090;116100;116070;116090
09.10.2018;116100;116160;116060;116160
09.10.2018;116150;116160;116070;116070
09.10.2018;116080;116100;116050;116050
09.10.2018;116050;116110;116050;116110
09.10.2018;116110;116150;116090;116150
09.10.2018;116150;116150;116110;116110
09.10.2018;116120;116190;116120;116190
09.10.2018;116190;116210;116160;116200
09.10.2018;116200;116230;116180;116220
09.10.2018;116230;116370;116200;116210
09.10.2018;116200;116250;116170;116240
09.10.2018;116240;116240;116190;116200
09.10.2018;116210;116210;116160;116190
09.10.2018;116200;116240;116170;116170
09.10.2018;116170;116210;116160;116190
09.10.2018;116170;116240;116170;116230
09.10.2018;116200;116220;116180;116220
09.10.2018;116230;116230;116140;116160
09.10.2018;116160;116220;116160;116200
09.10.2018;116200;116230;116150;116150
09.10.2018;116150;116200;116150;116180
09.10.2018;116190;116210;116150;116170
09.10.2018;116190;116220;116190;116220
09.10.2018;116220;116220;116200;116200
09.10.2018;116210;116220;116200;116210
09.10.2018;116210;116240;116180;116180
09.10.2018;116190;116200;116130;116130
09.10.2018;116140;116180;116130;116150
09.10.2018;116160;116170;116150;116150
09.10.2018;116170;116190;116150;116150
09.10.2018;116150;116190;116140;116190
09.10.2018;116180;116190;116160;116170
09.10.2018;116170;116170;116150;116160
09.10.2018;116140;116160;116140;116150
09.10.2018;116140;116160;116140;116160
09.10.2018;116160;116170;116150;116150
09.10.2018;116140;116160;116100;116150
09.10.2018;116160;116160;116120;116120
09.10.2018;116120;116130;116090;116100
09.10.2018;116110;116140;116100;116120
09.10.2018;116130;116170;116130;116160
09.10.2018;116150;116190;116140;116190
09.10.2018;116180;116200;116170;116190
09.10.2018;116190;116190;116160;116160
09.10.2018;116170;116180;116160;116170
09.10.2018;116160;116190;116150;116170
09.10.2018;116180;116190;116170;116170
09.10.2018;116180;116180;116150;116170
09.10.2018;116180;116180;116160;116170
09.10.2018;116170;116170;116150;116160
09.10.2018;116160;116190;116160;116160
09.10.2018;116150;116180;116120;116150
09.10.2018;116160;116190;116160;116190
09.10.2018;116180;116180;116160;116160
09.10.2018;116160;116160;116100;116100
09.10.2018;116110;116130;116090;116120
09.10.2018;116110;116140;116060;116140
09.10.2018;116140;116150;116130;116130
09.10.2018;116120;116150;116110;116150
09.10.2018;116140;116150;116110;116120
09.10.2018;116110;116120;116060;116080
09.10.2018;116080;116100;116060;116060
09.10.2018;116080;116080;116040;116050
09.10.2018;116050;116060;116040;116060
09.10.2018;116060;116070;115980;116000
09.10.2018;116000;116030;115980;116000
09.10.2018;115990;116040;115970;116030
09.10.2018;116010;116070;116010;116020
09.10.2018;116040;116060;116030;116050
09.10.2018;116060;116060;116020;116050
09.10.2018;116040;116040;116020;116020
09.10.2018;116020;116020;116000;116000
09.10.2018;116000;116000;115950;115960
09.10.2018;115960;115960;115920;115940
09.10.2018;115930;115960;115920;115930
09.10.2018;115930;115930;115870;115910
09.10.2018;115900;115920;115850;115910
09.10.2018;115900;115920;115890;115890
09.10.2018;115890;115930;115890;115930
09.10.2018;115920;115940;115910;115920
09.10.2018;115940;115950;115910;115930
09.10.2018;115920;115940;115910;115920
09.10.2018;115920;115940;115910;115920
09.10.2018;115930;115960;115920;115940
09.10.2018;115940;115940;115900;115920
09.10.2018;115930;115980;115930;115950
09.10.2018;115950;115960;115910;115940
09.10.2018;115950;115960;115940;115950
09.10.2018;115950;116000;115950;115990
09.10.2018;115990;116000;115970;115970
09.10.2018;115990;116000;115960;115980
09.10.2018;115970;115980;115920;115960
09.10.2018;115950;115970;115930;115930
09.10.2018;115950;115950;115890;115940
09.10.2018;115930;115940;115920;115940
09.10.2018;115940;115980;115930;115980
09.10.2018;115990;116100;115990;116100
09.10.2018;116090;116100;116060;116090
09.10.2018;116090;116120;116070;116090
09.10.2018;116090;116130;116080;116080
09.10.2018;116080;116080;116040;116050
09.10.2018;116040;116040;115980;116000
09.10.2018;116010;116010;115980;116000
09.10.2018;116010;116010;115970;115990
09.10.2018;115990;116040;115970;116040
09.10.2018;116030;116100;116030;116090
09.10.2018;116080;116090;115990;116030
09.10.2018;116040;116040;116010;116010
09.10.2018;116000;116030;115990;116030
09.10.2018;116030;116060;116010;116060
09.10.2018;116050;116050;115980;115980
09.10.2018;115980;116020;115980;116020
09.10.2018;116000;116020;116000;116000
09.10.2018;116000;116020;115990;116020
09.10.2018;116020;116040;116020;116030
09.10.2018;116040;116060;116030;116030
09.10.2018;116030;116040;116030;116040
09.10.2018;116040;116040;116030;116040
09.10.2018;116040;116050;116040;116040
09.10.2018;116050;116060;116050;116060
09.10.2018;116070;116130;116070;116110
09.10.2018;116120;116190;116120;116150
09.10.2018;116140;116150;116120;116140
09.10.2018;116130;116140;116120;116130
09.10.2018;116150;116160;116140;116140
09.10.2018;116140;116150;116120;116150
09.10.2018;116150;116150;116120;116140
09.10.2018;116120;116130;116120;116120
09.10.2018;116120;116150;116110;116150
09.10.2018;116140;116150;116120;116120
09.10.2018;116140;116140;116120;116140
09.10.2018;116140;116140;116120;116120
09.10.2018;116110;116140;116110;116120
09.10.2018;116130;116130;116110;116110
09.10.2018;116120;116120;116110;116110
09.10.2018;116110;116110;116080;116100
09.10.2018;116090;116090;116080;116090
09.10.2018;116090;116090;116070;116080
09.10.2018;116080;116080;116050;116080
09.10.2018;116070;116080;116060;116080
09.10.2018;116070;116080;116050;116050
09.10.2018;116070;116070;116070;116070
09.10.2018;116060;116070;116030;116070
09.10.2018;116070;116080;116040;116060
09.10.2018;116060;116090;116060;116090
09.10.2018;116090;116110;116080;116080
09.10.2018;116080;116110;116080;116110
09.10.2018;116100;116120;116100;116120
09.10.2018;116130;116180;116130;116150
09.10.2018;116150;116200;116140;116200
09.10.2018;116190;116220;116140;116140
09.10.2018;116140;116160;116120;116120
09.10.2018;116130;116130;116100;116100
09.10.2018;116100;116130;116090;116100
09.10.2018;116100;116130;116100;116130
09.10.2018;116130;116160;116120;116150
09.10.2018;116120;116130;116120;116130
09.10.2018;116130;116150;116130;116140
09.10.2018;116150;116160;116050;116080
09.10.2018;116060;116090;116000;116000
09.11.2018;113830;114050;113790;113850
09.11.2018;113840;114000;113830;113940
09.11.2018;113940;114020;113920;113950
09.11.2018;113940;114000;113920;113940
09.11.2018;113940;113990;113920;113970
09.11.2018;113970;114070;113840;113980
09.11.2018;113960;114000;113890;113980
09.11.2018;113970;114000;113930;113970
09.11.2018;113950;113990;113920;113950
09.11.2018;113940;113980;113920;113980
09.11.2018;113970;113980;113930;113930
09.11.2018;113930;113940;113810;113910
09.11.2018;113920;113960;113860;113950
09.11.2018;113950;113990;113920;113970
09.11.2018;113970;114000;113910;114000
09.11.2018;114000;114030;113930;113970
09.11.2018;113960;113960;113910;113920
09.11.2018;113930;113930;113820;113910
09.11.2018;113910;113950;113890;113930
09.11.2018;113940;114010;113940;113980
09.11.2018;113970;114040;113940;114030
09.11.2018;114030;114040;113980;114000
09.11.2018;114000;114000;113950;113990
09.11.2018;113980;113990;113950;113980
09.11.2018;113980;114000;113960;113980
09.11.2018;113980;113990;113920;113960
09.11.2018;113960;114090;113950;114060
09.11.2018;114060;114070;114000;114040
09.11.2018;114050;114050;113940;113950
09.11.2018;113950;114020;113950;114020
09.11.2018;114020;114020;113960;114000
09.11.2018;114000;114060;114000;114000
09.11.2018;113990;114040;113990;114040
09.11.2018;114030;114050;113950;113960
09.11.2018;113960;113990;113900;113910
09.11.2018;113900;113910;113840;113910
09.11.2018;113910;113930;113880;113910
09.11.2018;113920;113950;113900;113950
09.11.2018;113950;113950;113910;113940
09.11.2018;113930;113960;113870;113910
09.11.2018;113900;113930;113860;113930
09.11.2018;113930;113930;113700;113820
09.11.2018;113810;113820;113730;113750
09.11.2018;113750;113750;113620;113640
09.11.2018;113650;113680;113620;113650
09.11.2018;113640;113660;113600;113640
09.11.2018;113640;113690;113630;113660
09.11.2018;113660;113680;113570;113600
09.11.2018;113600;113650;113580;113640
09.11.2018;113630;113700;113620;113700
09.11.2018;113700;113700;113640;113670
09.11.2018;113670;113690;113660;113660
09.11.2018;113650;113690;113600;113660
09.11.2018;113660;113710;113650;113700
09.11.2018;113690;113840;113690;113800
09.11.2018;113790;113830;113760;113810
09.11.2018;113810;113810;113760;113770
09.11.2018;113760;113800;113750;113780
09.11.2018;113780;113800;113740;113740
09.11.2018;113740;113770;113720;113730
09.11.2018;113740;113770;113660;113720
09.11.2018;113730;113810;113690;113740
09.11.2018;113740;113770;113720;113730
09.11.2018;113730;113750;113710;113730
09.11.2018;113730;113740;113630;113660
09.11.2018;113660;113670;113470;113510
09.11.2018;113510;113520;113410;113490
09.11.2018;113490;113570;113470;113540
09.11.2018;113550;113590;113510;113540
09.11.2018;113540;113540;113400;113430
09.11.2018;113420;113530;113400;113470
09.11.2018;113470;113520;113450;113510
09.11.2018;113520;113520;113470;113490
09.11.2018;113480;113510;113460;113510
09.11.2018;113510;113510;113430;113440
09.11.2018;113450;113510;113380;113380
09.11.2018;113380;113410;113350;113370
09.11.2018;113370;113380;113260;113320
09.11.2018;113320;113360;113300;113340
09.11.2018;113330;113400;113320;113350
09.11.2018;113350;113400;113320;113400
09.11.2018;113390;113410;113370;113390
09.11.2018;113390;113400;113250;113290
09.11.2018;113290;113350;113270;113300
09.11.2018;113290;113310;113260;113280
09.11.2018;113270;113280;113190;113250
09.11.2018;113260;113280;113220;113230
09.11.2018;113220;113240;113190;113230
09.11.2018;113220;113280;113220;113250
09.11.2018;113240;113310;113240;113260
09.11.2018;113260;113300;113240;113250
09.11.2018;113260;113360;113260;113330
09.11.2018;113330;113380;113320;113380
09.11.2018;113370;113380;113300;113320
09.11.2018;113320;113330;113220;113230
09.11.2018;113230;113350;113230;113290
09.11.2018;113290;113300;113230;113260
09.11.2018;113260;113260;113110;113130
09.11.2018;113120;113170;113110;113130
09.11.2018;113120;113170;113110;113140
09.11.2018;113140;113210;113140;113190
09.11.2018;113200;113240;113100;113110
09.11.2018;113110;113210;113100;113140
09.11.2018;113140;113160;113050;113100
09.11.2018;113100;113100;113000;113020
09.11.2018;113010;113120;112980;113080
09.11.2018;113080;113080;113030;113060
